Drug_name	approved
(2s,3s)-3-(4-Fluorophenyl)-2,3-Dihydroxypropanoic Acid	Not approved
(2s,3s)-3-Amino-4-(3,3-Difluoropyrrolidin-1-Yl)-N,N-Dimethyl-4-Oxo-2-(Trans-4-[1,2,4]Triazolo[1,5-A]Pyridin-6-Ylcyclohexyl)Butanamide	Not approved
(2s,3s)-3-Amino-4-[(3s)-3-Fluoropyrrolidin-1-Yl]-N,N-Dimethyl-4-Oxo-2-(Trans-4-[1,2,4]Triazolo[1,5-A]Pyridin-5-Ylcyclohexyl)Butanamide	Not approved
(2s,3s)-3-Formyl-2-({[(4-Methylphenyl)Sulfonyl]Amino}Methyl)Pentanoic Acid	Not approved
(2s,3s)-3-Formyl-2-({[(4-Nitrophenyl)Sulfonyl]Amino}Methyl)Pentanoic Acid	Not approved
(2s,3s)-4-Cyclopropyl-3-{(3r,5r)-3-[2-Fluoro-4-(Methylsulfonyl)Phenyl]-1,2,4-Oxadiazolidin-5-Yl}-1-[(3s)-3-Fluoropyrrolidin-1-Yl]-1-Oxobutan-2-Amine	Not approved
(2s,3s,4e,6e,8s,9s)-3-Amino-9-Methoxy-2,6,8-Trimethyl-10-Phenyldeca-4,6-Dienoic Acid	Not approved
(2s,3s,4r,5s)-2-(4-Amino-4,5-Dihydro-1h-Pyrrolo[3,2-D]Pyrimidin-7-Yl)-5-[(Methylsulfanyl)Methyl]-3,4-Pyrrolidinediol	Not approved
(2s,3s,8s,9s)-3-Amino-9-Methoxy-2,6,8-Trimethyl-10-Phenyldeca-4,6-Dienoic Acid	Not approved
(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid	Not approved
(2s)-4-(2,5-Difluorophenyl)-N-Methyl-2-Phenyl-N-Piperidin-4-Yl-2,5-Dihydro-1h-Pyrrole-1-Carboxamide	Not approved
(2s)-4-(2,5-Difluorophenyl)-N,N-Dimethyl-2-Phenyl-2,5-Dihydro-1h-Pyrrole-1-Carboxamide	Not approved
(2s)-4-(4-Fluorobenzyl)-N-(2-Sulfanylethyl)Piperazine-2-Carboxamide	Not approved
(2s)-4-(4-Fluorobenzyl)-N-(3-Sulfanylpropyl)Piperazine-2-Carboxamide	Not approved
(2s)-4-(Beta-Alanylamino)-2-Aminobutanoic Acid	Not approved
(2s)-4-Methyl-2-(3-Phenylthioureido)-N-((3s)-Tetrahydro-2-Hydroxy-3-Furanyl)Pentanamide	Not approved
[(2s)-4-Methyl-3-Oxo-2,3,4,5-Tetrahydro-1h-1,4-Benzodiazepin-2-Yl]Acetic Acid	Not approved
2s,4r-4-Methylglutamate	Not approved
(2s,4s,5r)-1-(4-Tert-Butylbenzoyl)-2-Isobutyl-5-(1,3-Thiazol-2-Yl)Pyrrolidine-2,4-Dicarboxylic Acid	Not approved
(2s,4s,5r)-2-Isobutyl-5-(2-Thienyl)-1-[4-(Trifluoromethyl)Benzoyl]Pyrrolidine-2,4-Dicarboxylic Acid	Not approved
(2s,4s)-Alpha-Campholinic Acid	Not approved
(2s,5r,6r)-6-({(6s)-6-[(Ammonioacetyl)Amino]-6-Carboxylatohexanoyl}Amino)-3,3-Dimethyl-7-Oxo-4-Thia-1-Azabicyclo[3.2.0]Heptane-2-Carboxylate	Not approved
(2s,5s)-5-Carboxymethylproline	Not approved
(2s)-({(5z)-5-[(5-Ethyl-2-Furyl)Methylene]-4-Oxo-4,5-Dihydro-1,3-Thiazol-2-Yl}Amino)(4-Fluorophenyl)Acetic Acid	Not approved
(2s)-6-(2,4-Diamino-6-Ethylpyrimidin-5-Yl)-2-(3,5-Difluorophenyl)-4-(3-Methoxypropyl)-2h-1,4-Benzoxazin-3(4h)-One	Not approved
(2s)-7-Hydroxyflavanone	Not approved
(2s)-8-[(Tert-Butoxycarbonyl)Amino]-2-(1h-Indol-3-Yl)Octanoic Acid	Not approved
2(S)-Amino-6-Boronohexanoic Acid	Not approved
2-(Sec-Butyl)Thiazole	Not approved
(2s)-Hydroxy(4-Hydroxyphenyl)Ethanoic Acid	Not approved
(2s)-N-[(3e)-5-Cyclopropyl-3h-Pyrazol-3-Ylidene]-2-[4-(2-Oxo-1-Imidazolidinyl)Phenyl]Propanamide	Not approved
(2s)-N-[(3s)-1-(2-Amino-2-Oxoethyl)-2-Oxo-1,2,3,4-Tetrahydroquinolin-3-Yl]-2-Chloro-2h-Thieno[2,3-B]Pyrrole-5-Carboxamide	Not approved
(2s)-N-(4-Cyano-3-Iodophenyl)-3-(4-Cyanophenoxy)-2-Hydroxy-2-Methylpropanamide	Not approved
(2s) N-Acetyl-L-Alanyl-Al-Phenylalanyl-Chloroethylketone	Not approved
(2s)-Pyrrolidin-2-Ylmethylamine	Not approved
2-Tert-Butyl-9-Fluoro-1,6-Dihydrobenzo[H]Imidazo[4,5-F]Isoquinolin-7-One	Not approved
2-Thioethenamine	Not approved
2-Thiomethyl-3-Phenylpropanoic Acid	Not approved
2-(Thiomethylene)-4-Methylpentanoic Acid	Not approved
2-(Toluene-4-Sulfonyl)-2h-Benzo[D][1,2,3]Diazaborinin-1-Ol	Not approved
2-[Trans-(4-Aminocyclohexyl)Amino]-6-(Benzyl-Amino)-9-Cyclopentylpurine	Not approved
2-Tridecanoyloxy-Pentadecanoic Acid	Not approved
2-(Trimethylammonium)Ethyl Thiol	Not approved
2-Undecanone	Not approved
2x-121	Not approved
(2z)-1-(5-Chloro-1h-Indol-3-Yl)-3-Hydroxy-3-(1h-Tetrazol-5-Yl)-2-Propen-1-One	Not approved
(2z)-2-(Benzoylamino)-3-[4-(2-Bromophenoxy)Phenyl]Acrylic Acid	Not approved
(2z)-2-Cyano-N-(2,2'-Dichlorobiphenyl-4-Yl)-3-Hydroxybut-2-Enamide	Not approved
(2z)-2-Cyano-N-(3'-Ethoxybiphenyl-4-Yl)-3-Hydroxybut-2-Enamide	Not approved
(2z,3e)-2,3'-Biindole-2',3(1h,1'H)-Dione 3-{O-[(3r)-3,4-Dihydroxybutyl]Oxime}	Not approved
(2z)-3-{[Oxido(Oxo)Phosphoranyl]Oxy}-2-Phenylacrylate	Not approved
(2z,4e)-3-Chloro-2-Hydroxy-6-Oxo-6-Phenylhexa-2,4-Dienoic Acid	Not approved
(2z)-N-(3-Chloro-2'-Methoxybiphenyl-4-Yl)-2-Cyano-3-Hydroxybut-2-Enamide	Not approved
(2z)-N-Biphenyl-4-Yl-2-Cyano-3-Cyclopropyl-3-Hydroxyprop-2-Enamide	Not approved
(2z)-N-Biphenyl-4-Yl-2-Cyano-3-Hydroxybut-2-Enamide	Not approved
3-(10-Methyl-9-Anthryl)Propanoic Acid	Not approved
3-(1,10-Phenanthrol-2-Yl)-L-Alanine	Not approved
3-(1,1-Dioxido-4h-1,2,4-Benzothiadiazin-3-Yl)-4-Hydroxy-1-(3-Methylbutyl)Quinolin-2(1h)-One	Not approved
3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione	Not approved
3-({1-[3-Carbamimidoyl-1-(4-Carbamimidoyl-Benzylcarbamoyl)-Propylcarbamoyl]-2-Methyl-Butylsulfamoyl}-Methyl)-Benzoic Acid	Not approved
3-[1-(4-Bromo-Phenyl)-2-Methyl-Propyl]-4-Hydroxy-Chromen-2-One	Not approved
({3-[1-(4-Hydroxy-2-Oxo-2h-Chromen-3-Yl)-Propyl]-Phenylcarbamoyl}-Methyl)-Carbamic Acid Tert-Butyl Ester	Not approved
3-[(1-Amino-2-Carboxy-Ethyl)-Hydroxy-Phosphinoyl]-2-Methyl-Propionic Acid	Not approved
3-(1-Aminoethyl)Nonanedioic Acid	Not approved
[3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid	Not approved
3'-1-Carboxy-1-Phosphonooxy-Ethoxy-Uridine-Diphosphate-N-Acetylglucosamine	Not approved
3-[({(1e)-[2-(Trifluoromethyl)Phenyl]Methylidene}Amino)Oxy]Propanoic Acid	Not approved
3-[(1e,7e)-8-(2,6-Dioxo-1,2,3,6-Tetrahydropyrimidin-4-Yl)-3,6-Dioxa-2,7-Diazaocta-1,7-Dien-1-Yl]Benzoic Acid	Not approved
3-(1h-Benzimidazol-2-Yl)-1h-Indazole	Not approved
3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid	Not approved
3-(1h-Indol-3-Yl)-4-{1-[2-(1-Methylpyrrolidin-2-Yl)Ethyl]-1h-Indol-3-Yl}-1h-Pyrrole-2,5-Dione	Not approved
3-(1h-Indol-3-Yl)-4-(1-{2-[(2s)-1-Methylpyrrolidinyl]Ethyl}-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione	Not approved
3-(1h-Tetrazol-5-Ylamino)Cyclohex-2-En-1-One	Not approved
3-(1h-Tetrazol-5-Ylmethyl)-5,6,7,8-Tetrahydro[1]Benzothieno[2,3-D]Pyrimidin-4(3h)-One	Not approved
3-(1-Naphthylmethoxy)Pyridin-2-Amine	Not approved
3-{[(1r)-1-Benzyl-2-Sulfanylethyl]Amino}-3-Oxopropanoic Acid	Not approved
3-{[(1r)-1-Phenylethyl]Amino}-4-(Pyridin-4-Ylamino)Cyclobut-3-Ene-1,2-Dione	Not approved
3-({[(1z)-(2-Methoxyphenyl)Methylidene]Amino}Oxy)Propanoic Acid	Not approved
3,20-Pregnanedione	Not approved
3-({2-[(2-Amino-6-Methylpyrimidin-4-Yl)Ethynyl]Benzyl}Amino)-1,3-Oxazol-2(3h)-One	Not approved
3-[(2,2-Dimethylpropanoyl)Amino]-N-1,3-Thiazol-2-Ylpyridine-2-Carboxamide	Not approved
3-{[(2,2-Dioxido-1,3-Dihydro-2-Benzothien-5-Yl)Amino]Methylene}-5-(1,3-Oxazol-5-Yl)-1,3-Dihydro-2h-Indol-2-One	Not approved
3-({2-[(4-{[6-(Cyclohexylmethoxy)-9h-Purin-2-Yl]Amino}Phenyl)Sulfonyl]Ethyl}Amino)Propan-1-Ol	Not approved
3-[(2,4-Dichlorobenzoyl)(Isopropyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid	Not approved
3-[2,6,8-Trioxo-9-[(2r,3r,4r)-2,3,4,5-Tetrahydroxypentyl]-3h-Purin-7-Yl]Propyl Dihydrogen Phosphate	Not approved
3-[2,6,8-Trioxo-9-[(2r,3s,4r)-2,3,4,5-Tetrahydroxypentyl]-3h-Purin-7-Yl]Propyl Dihydrogen Phosphate	Not approved
3-{2,6,8-Trioxo-9-[(2s,3r,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate	Not approved
3-{2,6,8-Trioxo-9-[(2s,3s,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate	Not approved
3-(2,6-Difluorophenyl)-2-(Methylthio)Quinazolin-4(3h)-One	Not approved
3-(2-Amino-6-Benzoylquinazolin-3(4h)-Yl)-N-Cyclohexyl-N-Methylpropanamide	Not approved
3-(2-Aminoethyl)-4-(Aminomethyl)Heptanedioic Acid	Not approved
3-(2-Aminoquinazolin-6-Yl)-1-(3,3-Dimethylindolin-6-Yl)-4-Methylpyridin-2(1h)-One	Not approved
3-(2-Aminoquinazolin-6-Yl)-4-Methyl-1-[3-(Trifluoromethyl)Phenyl]Pyridin-2(1h)-One	Not approved
3-(2-Aminoquinazolin-6-Yl)-4-Methyl-N-[3-(Trifluoromethyl)Phenyl]Benzamide	Not approved
3-(2-Benzothiazolylthio)-1-Propanesulfonic Acid	Not approved
3-[2-Bromo-4-(1h-Pyrazolo[3,4-C]Pyridazin-3-Ylmethyl)Phenoxy]-5-Methylbenzonitrile	Not approved
3-(2-Chlorophenyl)-1-(2-{[(1s)-2-Hydroxy-1,2-Dimethylpropyl]Amino}Pyrimidin-4-Yl)-1-(4-Methoxyphenyl)Urea	Not approved
3-({3-[(1s,4as,6s,7s,9s,9ar)-1,6-Dimethyl-2-Oxodecahydro-6,9-Epoxy-4a,7-Methanobenzo[7]Annulen-1-Yl]Propanoyl}Amino)-2,4-Dihydroxybenzoic Acid	Not approved
3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione	Not approved
3-[(3-(2-Carboxyethyl)-4-Methylpyrrol-2-Yl)Methylene]-2-Indolinone	Not approved
{3-[3-(3,4-Dimethoxy-Phenyl)-1-(1-{1-[2-(3,4,5-Trimethoxy-Phenyl)-Butyryl]-Piperidin-2yl}-Vinyloxy)-Propyl]-Phenoxy}-Acetic Acid	Not approved
3-[3-(3-Methyl-6-{[(1s)-1-Phenylethyl]Amino}-1h-Pyrazolo[4,3-C]Pyridin-1-Yl)Phenyl]Propanamide	Not approved
3-(3,4-Dimethoxyphenyl)Propanoic Acid	Not approved
3-[3-(4-Methylpiperazin-1-Yl)-7-(Trifluoromethyl)Quinoxalin-5-Yl]Phenol	Not approved
3,3',5,5'-Tetrachlorobiphenyl-4,4'-Diol	Not approved
3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide	Not approved
3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid [4-(Thiazol-2-Ylsulfamoyl)-Phenyl]-Amide	Not approved
3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid Dimethylamide	Not approved
3-({[3,5-Difluoro-3'-(Trifluoromethoxy)Biphenyl-4-Yl]Amino}Carbonyl)Thiophene-2-Carboxylic Acid	Not approved
3-(3-Aminophenyl)-N-(3-Chlorophenyl)Pyrazolo[1,5-A]Pyrimidin-5-Amine	Not approved
3-((3-Bromo-5-O-Tolylpyrazolo[1,5-A]Pyrimidin-7-Ylamino)Methyl)Pyridine 1-Oxide	Not approved
3-[3-Chloro-5-(5-{[(1s)-1-Phenylethyl]Amino}Isoxazolo[5,4-C]Pyridin-3-Yl)Phenyl]Propan-1-Ol	Not approved
3,3-Dichloro-2-Phosphonomethyl-Acrylic Acid	Not approved
3,3'-Diindolylmethane	Not approved
3-{3-[(Dimethylamino)Methyl]-1h-Indol-7-Yl}Propan-1-Ol	Not approved
(3,3-Dimethylpiperidin-1-Yl)(6-(3-Fluoro-4-Methylphenyl)Pyridin-2-Yl)Methanone	Not approved
3-{[(3-Fluoro-3'-Methoxybiphenyl-4-Yl)Amino]Carbonyl}Thiophene-2-Carboxylic Acid	Not approved
{3-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-2-Methyl-Propyl}-Phosphonic Acid	Not approved
3-(3-Methoxybenzyl)-1h-Pyrrolo[2,3-B]Pyridine	Not approved
3-(3-Methyl-2-Buten-1-Yl)-3h-Purin-6-Amine	Not approved
3-[(3-Nitrophenyl)Sulfamoyl]-2-Thiophenecarboxylic Acid	Not approved
3-[[(3r,4s,5s,6r)-7-Benzyl-4,5-Dihydroxy-1,1-Dioxo-3,6-Bis(Phenoxymethyl)-1,2,7-Thiadiazepan-2-Yl]Methyl]-N-Methylbenzamide	Not approved
3-({[(3s)-3,4-Dihydroxybutyl]Oxy}Amino)-1h,2'H-2,3'-Biindol-2'-One	Not approved
3-[(3-Sec-Butyl-4-Hydroxybenzoyl)Amino]Azepan-4-Yl 4-(2-Hydroxy-5-Methoxybenzoyl)Benzoate	Not approved
3-({4-[(1e)-3-Morpholin-4-Yl-3-Oxoprop-1-En-1-Yl]-2,3-Bis(Trifluoromethyl)Phenyl}Sulfanyl)Aniline	Not approved
3-[4-(1-Formylpiperazin-4-Yl)-Benzylidenyl]-2-Indolinone	Not approved
3-(4-{2-[2-(2-Bromo-Acetylamino)-Ethyldisulfanyl]-Ethylcarbamoyl}-Cyclohexylcarbamoyl)-Pyrazine-2-Carboxylic Acid	Not approved
3-[4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol	Not approved
3-({4-[(5-Chloro-1,3-Benzodioxol-4-Yl)Amino]Pyrimidin-2-Yl}Amino)Benzamide	Not approved
3-({4-[(5-Chloro-1,3-Benzodioxol-4-Yl)Amino]Pyrimidin-2-Yl}Amino)Benzenesulfonamide	Not approved
(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester	Not approved
3,4,5-Trimethoxyamphetamine	Not approved
3-({4-[(6-Chloro-1-Benzothien-2-Yl)Sulfonyl]-2-Oxopiperazin-1-Yl}Methyl)Benzenecarboximidamide	Not approved
(3,4,8b-Trimethyl-3-Oxido-2,3a-Dihydro-1h-Pyrrolo[2,3-B]Indol-3-Ium-7-Yl) N-(2-Ethylphenyl)Carbamate	Not approved
3-[4-Amino-1-(1-Methylethyl)-1h-Pyrazolo[3,4-D]Pyrimidin-3-Yl]Phenol	Not approved
3-[(4-Amino-1-Tert-Butyl-1h-Pyrazolo[3,4-D]Pyrimidin-3-Yl)Methyl]Phenol	Not approved
3-(4-Amino-1-Tert-Butyl-1h-Pyrazolo[3,4-D]Pyrimidin-3-Yl)Phenol	Not approved
3-(4-Amino-2-Tert-Butyl-5-Methyl-Phenylsulfanyl)-6-Cyclopentyl-4-Hydroxy-6-[2-(4-Hydroxy-Phenyl)-Ethyl]-5,6-Dihydro-Pyran-2-One	Not approved
3-{[4-([Amino(Imino)Methyl]Aminosulfonyl)Anilino]Methylene}-2-Oxo-2,3-Dihydro-1h-Indole	Not approved
3-[4-(Aminosulfonyl)Phenyl]Propanoic Acid	Not approved
3-(4-Benzenesulfonyl-Thiophene-2-Sulfonylamino)-Phenylboronic Acid	Not approved
3,4-Biphenyldiol	Not approved
3,4-Bis(7-Chloro-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dicarboxylic Acid	Not approved
3-{[4-(But-2-Yn-1-Yloxy)Phenyl]Sulfonyl}Propane-1-Thiol	Not approved
3-(4-Carbamoyl-1-Carboxy-2-Methylsulfonyl-Buta-1,3-Dienylamino)-Indolizine-2-Carboxylic Acid	Not approved
3-[(4-Carboxy-2-Hydroxyphenyl)Sulfamoyl]-2-Thiophenecarboxylic Acid	Not approved
3-[(4-Chloroanilino)Sulfonyl]Thiophene-2-Carboxylic Acid	Not approved
3-(4-Chlorophenyl)-5-(Methylthio)-4h-1,2,4-Triazole	Not approved
3-[(4'-Cyanobiphenyl-4-Yl)Oxy]-N-Hydroxypropanamide	Not approved
3,4-Di-1h-Indol-3-Yl-1h-Pyrrole-2,5-Dicarboxylic Acid	Not approved
3,4-Dichloroisocoumarin	Not approved
3,4-Dihydro-2'-Deoxyuridine-5'-Monophosphate	Not approved
3,4-Dihydro-2h-Pyrrolium-5-Carboxylate	Not approved
3,4-Dihydro-5-Methyl-Isoquinolinone	Not approved
3,4-Dihydroxy-1-Methylquinolin-2(1h)-One	Not approved
(3,4-Dihydroxy-2-Nitrophenyl)(Phenyl)Methanone	Not approved
3,4-Dihydroxy-9,10-Secoandrosta-1(10),2,4-Triene-9,17-Dione	Not approved
3,4-Dihydroxybenzoic Acid	Not approved
3,4-Dihydroxycinnamic Acid	Not approved
(3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium	Not approved
3,4-Dimethylaniline	Not approved
3,4-Epoxybutyl-Alpha-D-Glucopyranoside	Not approved
3-(4-Fluorophenyl)-1-Hydroxy-2-(Pyridin-4-Yl)-1h-Pyrrolo[3,2-B]Pyridine	Not approved
3-(4-Fluorophenyl)-2-(6-Methylpyridin-2-Yl)-5,6-Dihydro-4h-Pyrrolo[1,2-B]Pyrazole	Not approved
3-(4-Fluorophenyl)-5-Phenyl-4h-1,2,4-Triazole	Not approved
3-[(4-Fluorophenyl)Sulfanyl]-N-(4-Methyl-1,3-Thiazol-2-Yl)-6-[(4-Methyl-4h-1,2,4-Triazol-3-Yl)Sulfanyl]Pyridine-2-Carboxamide	Not approved
3-(4-Hydroxy-3-Imino-6-Oxo-Cyclohexa-1,4-Dienyl)-Alanine	Not approved
3-(4-Hydroxyphenyl)-4,5-Dihydro-5-Isoxazole-Acetic Acid Methyl Ester	Not approved
3,4-Methylenedioxy-N-Isopropylamphetamine	Not approved
3-{[(4-Methylphenyl)Sulfonyl]Amino}Propyl Pyridin-4-Ylcarbamate	Not approved
3-(4-Nitro-Phenoxy)-Propan-1-Ol	Not approved
3-(4-Nitrophenyl)-1h-Pyrazole	Not approved
3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile	Not approved
3,4-Xylenol	Not approved
3-[5-(1h-Imidazol-1-Yl)-7-Methyl-1h-Benzimidazol-2-Yl]-4-[(Pyridin-2-Ylmethyl)Amino]Pyridin-2(1h)-One	Not approved
3-[5-(2-Nitropent-1-En-1-Yl)Furan-2-Yl]Benzoic Acid	Not approved
3-[5-(3-Nitrophenyl)Thiophen-2-Yl]Propanoic Acid	Not approved
3-(5-{[4-(Aminomethyl)Piperidin-1-Yl]Methyl}-1h-Indol-2-Yl)-1h-Indazole-6-Carbonitrile	Not approved
3-(5-{[4-(Aminomethyl)Piperidin-1-Yl]Methyl}-1h-Indol-2-Yl)Quinolin-2(1h)-One	Not approved
3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium	Not approved
3-(5-Amino-3-Imino-3h-Pyrazol-4-Ylazo)-Benzoic Acid	Not approved
3-(5-Amino-7-Hydroxy-(1,2,3)Triazolo(4,5-D)Pyrimidin-2-Yl)Benzoic Acid	Not approved
3-(5-Amino-7-Hydroxy-[1,2,3]Triazolo[4,5-D]Pyrimidin-2-Yl)-N-(3,5-Dichlorobenzyl)-Benzamide	Not approved
3-(5-Amino-7-Oxo-3,7-Dihydro-2h-[1,2,3]Triazolo[4,5-D]Pyrimidin-2-Yl)-N-(2-{[2-(Hydroxymethyl)Phenyl]Sulfanyl}Benzyl)Benzamide	Not approved
3-{5-[Amino(Iminio)Methyl]-1h-Indol-2-Yl}-5-Methoxy-1,1'-Biphenyl-2-Olate	Not approved
{3-[(5-Chloro-1,3-Benzothiazol-2-Yl)Methyl]-2,4-Dioxo-3,4-Dihydropyrimidin-1(2h)-Yl}Acetic Acid	Not approved
3,5-Diaminophthalhydrazide	Not approved
3',5'-Dibromo-2',4,4',6'-Tetrahydroxy Aurone	Not approved
[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid	Not approved
3,5-Dibromobiphenyl-4-Ol	Not approved
3,5-Difluoroaniline	Not approved
3,5-Difluorobenzenesulfonamide	Not approved
3',5'-Difluorobiphenyl-4-Carboxylic Acid	Not approved
3,5-Dihydro-5-Methylidene-4h-Imidazol-4-On	Not approved
3,5-Diiodothyropropionic Acid	Not approved
3,5-Diiodotyrosine	Not approved
3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester	Not approved
3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester	Not approved
3,5-Dimethyl-1-Phenyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester	Not approved
3,5-Dinitrocatechol	Not approved
3',5'-Dinitro-N-Acetyl-L-Thyronine	Not approved
3-(5-Methoxy-1h-Indol-3-Yl)Propanoic Acid	Not approved
3-{[(5r,6r)-5-Benzyl-6-Hydroxy-2,4-Bis(4-Hydroxybenzyl)-3-Oxo-1,2,4-Triazepan-1-Yl]Sulfonyl}Benzonitril	Not approved
3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol	Not approved
3-{6-[(8-Hydroxy-Quinoline-2-Carbonyl)-Amino]-2-Thiophen-2-Yl-Hexanoylamino}-4-Oxo-Butyri Acid	Not approved
3,6,9,12,15,18-Hexaoxaicosane	Not approved
3,6,9,12,15-Pentaoxaheptadecan-1-Ol	Not approved
3,6,9,12,15-Pentaoxaheptadecane	Not approved
3,6,9,12,15-Pentaoxatricosan-1-Ol	Not approved
3-(6-Aminopyridin-3-Yl)-N-Methyl-N-[(1-Methyl-1h-Indol-2-Yl)Methyl]Acrylamide	Not approved
3,6-Anhydro-2-(Hydrogen Sulfate)-Alpha-D-Galactopyranose	Not approved
3-[6-Bromo-2-Fluoro-3-(1h-Pyrazolo[3,4-C]Pyridazin-3-Ylmethyl)Phenoxy]-5-Chlorobenzonitrile	Not approved
3-(6-Cyclohexylmethoxy-9h-Purin-2-Ylamino)-Benzenesulfonamide	Not approved
3,6-Diamino-5-Cyano-4-(4-Ethoxyphenyl)Thieno[2,3-B]Pyridine-2-Carboxamide	Not approved
3,6-Dihydroxy-Xanthene-9-Propionic Acid	Not approved
3-(6-Hydroxy-Naphthalen-2-Yl)-Benzo[D]Isooxazol-6-Ol	Not approved
3,7,11,15-Tetramethyl-Hexadecan-1-Ol	Not approved
[(3,7,11-Trimethyl-Dodeca-2,6,10-Trienyloxycarbamoyl)-Methyl]-Phosphonic Acid	Not approved
3-(7-Diaminomethyl-Naphthalen-2-Yl)-Propionic Acid Ethyl Ester	Not approved
3,7-Dihydroxynaphthalene-2-Carboxylic Acid	Not approved
3-(7-Hydroxy-8-Ribityllumazine-6-Yl) Propionic Acid	Not approved
3,8,9,10-Tetrahydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione	Not approved
3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium	Not approved
3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-5-Yl]Hexyl]-Phenanthridinium	Not approved
3,8-Dibromo-7-Hydroxy-4-Methyl-2h-Chromen-2-One	Not approved
3-{[(9-Cyano-9,10-Dihydro-10-Methylacridin-9-Yl)Carbonyl]Amino}Propanoic Acid	Not approved
3,9-Dimethyladenine	Not approved
3-[(9h-Fluoren-9-Ylideneamino)Oxy]Propanoic Acid	Not approved
3-(9-Hydroxy-1,3-Dioxo-4-Phenyl-2,3-Dihydropyrrolo[3,4-C]Carbazol-6(1h)-Yl)Propanoic Acid	Not approved
(3aalpha,4alpha,7alpha,7aalpha)- 3a,4,7,7a-Tetrahydro-2-(4-Nitro-1-Naphthalenyl)-4,7-Ethano-1h-Isoindole-1,3(2h)-Dione	Not approved
3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide	Not approved
3-Acetylpyridine Adenine Dinucleotide	Not approved
3-Allylfentanyl	Not approved
3-(Alpha-D-Galactopyranosyloxy)-5-Nitrobenzamide	Not approved
3-(Alpha-D-Galactopyranosyloxy)-N-(3-{4-[3-({2-[(3-{4-[3-({[3-(Hexopyranosyloxy)-5-Nitrophenyl]Carbonyl}Amino)Propyl]Piperazin-1-Yl}Propyl)Amino]-3,4-Dioxocyclobut-1-En-1-Yl}Amino)Propyl]Piperazin-1-Yl}Propyl)-5-Nitrobenzamide	Not approved
3-Amino-1-Chloro-4-Phenyl-Butanol-2-Yl	Not approved
3-Amino-3-Benzyl-[4.3.0]Bicyclo-1,6-Diazanonan-2-One	Not approved
3-Amino-3-Benzyl-9-Carboxamide[4.3.0]Bicyclo-1,6-Diazanonan-2-One	Not approved
3-Amino-3-Oxopropanoic Acid	Not approved
